name,latitude,longitude,google_id,attributes,popular_times
Monastery of Pedralbes,41.395605165759946,2.112075084546918,ChIJNd4Y3k6YpBIRrCCwNOSJg48,"[""establishment"", ""museum"", ""place_of_worship"", ""point_of_interest"", ""tourist_attraction""]",
Farmàcia Franquesa,41.43515149016144,2.1897728924932363,ChIJr-OJ-du8pBIRaoJdsF55PFU,"[""establishment"", ""health"", ""pharmacy"", ""point_of_interest"", ""store""]",
Centre Municipal de Cultura Popular de Sant Andreu,41.44068473251823,2.1876438165449668,ChIJpxcTnuC8pBIRPqygIg9xKA0,"[""establishment"", ""point_of_interest""]",
Institut Vila de Gràcia,41.3986014146248,2.155368115677565,ChIJx4BReJeipBIRCSIDAJtXEtU,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",
Pavelló de la República Española,41.43084548288972,2.151482356409003,ChIJv_IcmlC9pBIRFLMoLY9tCzc,"[""premise"", ""street_address""]",
Bar Marsella,41.3782782040133,2.17122360530803,ChIJzbIO4liipBIRYZZnzXZ_0Cc,"[""bar"", ""establishment"", ""point_of_interest""]",
Jardins de Mossèn Cinto Verdaguer,41.36885056534847,2.1630513619866973,ChIJ98tKckKipBIRtH3gxao848g,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
Esade Barcelona Pedralbes Campus,41.39374137478776,2.11450041725389,ChIJ46Cw5lGYpBIRPezFGRTbYRo,"[""establishment"", ""point_of_interest"", ""university""]",
Cementiri de Montjuïc,41.35439614126615,2.149011845799688,ChIJI_qx1A6ipBIRc5TA2IQ9dZE,"[""cemetery"", ""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Casa Martí,41.38603997054996,2.1735178081132696,ChIJdXOJjOyjpBIRSQn5PYv8zLk,"[""establishment"", ""point_of_interest""]",
Piscines Bernat Picornell,41.36632923206704,2.150793450223625,ChIJNberrnaipBIRQNqOUQ7EpN4,"[""establishment"", ""point_of_interest""]",
Hotel Casa Fuster,41.39801599366713,2.158025884692545,ChIJnyTG75aipBIRSWZ5epDlShs,"[""establishment"", ""lodging"", ""point_of_interest""]",
PRBB Parc de Recerca Biomèdica de Barcelona,41.38557632373501,2.194017030461737,ChIJ4e7xCQajpBIRDq5a6qtJ5IE,"[""establishment"", ""point_of_interest""]",
Parc de la Creueta del Coll,41.419264262411424,2.1462520569914068,ChIJZYks8aqipBIR8D5RH-H6AA8,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
Parc de la Font del Racó,41.41609393601731,2.130839745769486,ChIJ____5BuYpBIRspYttpZ-fN4,"[""establishment"", ""park"", ""point_of_interest""]",
Saint Pau del Camp,41.37650076335756,2.16931450249219,ChIJkfKHpl6ipBIR8tKD_Gnha58,"[""church"", ""establishment"", ""place_of_worship"", ""point_of_interest""]",
Old Hospital de la Santa Creu,41.38108881941955,2.169811468590316,ChIJ5xkWAfaipBIRe-qadFqOdWA,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Casa Garriga Nogués,41.38892310014807,2.165254832995529,ChIJ82aK2vKipBIR8PNSvEbELo8,"[""establishment"", ""point_of_interest""]",
Casal Cívic i Comunitari Barcelona-Can Guardiola,41.4299594840632,2.188553382391543,ChIJCbskRde8pBIRtQrM1SilnEk,"[""establishment"", ""point_of_interest""]",
Farmàcia Clapés,41.43381060796746,2.1892905825595,ChIJ35Oe2Nu8pBIR2kWkfGbZdmQ,"[""establishment"", ""health"", ""pharmacy"", ""point_of_interest"", ""store""]",
Sant Martí Eix Comercial,41.42025966854083,2.1998166979222726,ChIJcwv_T8u8pBIRspEMQys-CME,"[""establishment"", ""point_of_interest""]",
Hospital HM Sant Jordi,41.43675865439791,2.193077895717268,ChIJ2f4GXNu8pBIRqYgVQ-PW8f0,"[""establishment"", ""health"", ""hospital"", ""point_of_interest""]",
L'Auditori,41.39877242493477,2.185159128100962,ChIJ2bpMNB6jpBIR2NwxeNl0Glk,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Club Natació Sant Andreu,41.43005047129456,2.186313336459395,ChIJ7zFihNe8pBIRVtrCrhlQQfE,"[""establishment"", ""gym"", ""health"", ""point_of_interest""]",
Parc Joan Miró,41.37726829547463,2.1493406545619487,ChIJs4v77X6ipBIRl4PijsQk4Yk,"[""establishment"", ""park"", ""point_of_interest""]",
Zona de Banys Fòrum,41.41106682138965,2.221714876463801,ChIJS4juLaakpBIRbrxZLzJh5dg,"[""establishment"", ""natural_feature""]",
